Prijslijst;Categorie;Artikelcode;Omschrijving;Eenheid;Prijs
07-2026 Standaardprijslijst;01 - Standaardlijst;12121212;Vaste Prijsafspraak;stuk;15000
07-2026 Standaardprijslijst;011 Extra artikelen;1011010;Zak bentoniet;stuk;20
07-2026 Standaardprijslijst;01 - Standaardlijst;98764;Bentoniet en Grind per peilbuis;stuk;20
07-2026 Standaardprijslijst;20 - Machinaal boren;;Verloren Punten;stuk;10
07-2026 Standaardprijslijst;01 - Standaardlijst;01;Credit;stuk;-79
07-2026 Standaardprijslijst;10 - Betonboren;;Afsmeren asfalt of betonborigen;Stuk;6
07-2026 Standaardprijslijst;011 Extra artikelen;;Nacht toeslag;Stuk;706,25
07-2026 Standaardprijslijst;06 - Monstername grondwater;4005;Watermonster incl. lozingspakket;Stuk;75
07-2026 Standaardprijslijst;011 Extra artikelen;0021;Peilbuis tot 3m-mv;Stuk;107
07-2026 Standaardprijslijst;011 Extra artikelen;0022;Peilbuis tot 4m-mv;Stuk;174
07-2026 Standaardprijslijst;10 - Betonboren;;Beton asfaltboring 350mm;Stuk;190
07-2026 Standaardprijslijst;01 - Standaardlijst;;Slibsteek met ondergrond;Stuk;37
07-2026 Standaardprijslijst;01 - Standaardlijst;12121212;Vaste Prijsafspraak;stuk;15000
07-2026 Standaardprijslijst;011 Extra artikelen;5500;Verblijfkosten;Stuk;550
07-2026 Standaardprijslijst;01 - Standaardlijst;01;kunstof Afwerk koker;Stuk;135
07-2026 Standaardprijslijst;01 - Standaardlijst;000004;Voorrijkosten > 100 km;Stuk;153
07-2026 Standaardprijslijst;011 Extra artikelen;2131651651;Koppel Stratenmakers;Uur;110
07-2026 Standaardprijslijst;01 - Standaardlijst;C14;Stalen beschermkoker ø76 L=1m verzinkt;Stuk;110
07-2026 Standaardprijslijst;011 Extra artikelen;12345;Depot bemonstering indicatief;Stuk;150
07-2026 Standaardprijslijst;011 Extra artikelen;12643756;Partij keuring;Stuk;500
07-2026 Standaardprijslijst;011 Extra artikelen;21215152;Boring tot 7m handmating;Stuk;175
07-2026 Standaardprijslijst;011 Extra artikelen;234523;Peilbuis 7m;Stuk;275
07-2026 Standaardprijslijst;011 Extra artikelen;243565;Kraan 2.5 ton incl. machinist en transport;Dag;800
07-2026 Standaardprijslijst;011 Extra artikelen;12356425;Beschermhek Rood;Stuk;250
07-2026 Standaardprijslijst;01 - Standaardlijst;00123;Km vergoeding;Stuk;0,65
07-2026 Standaardprijslijst;011 Extra artikelen;1123;Deksel 120mm;Stuk;33
07-2026 Standaardprijslijst;01 - Standaardlijst;T1;Tank onderzoek;Stuk;350
07-2026 Standaardprijslijst;011 Extra artikelen;1;Peilbuis tot 3,5m 60mm.;Stuk;147
07-2026 Standaardprijslijst;011 Extra artikelen;765243523y;Verkeers Maatregelen;Stuk;582,5
07-2026 Standaardprijslijst;011 Extra artikelen;76542;Weekend toeslag;Stuk;1082,3
07-2026 Standaardprijslijst;01 - Standaardlijst;1001;Klic melding;stuk;55
07-2026 Standaardprijslijst;01 - Standaardlijst;1002;Reiskosten+ certificeringskosten;stuk;96
07-2026 Standaardprijslijst;01 - Standaardlijst;1003;Voorrijkosten;project;35
07-2026 Standaardprijslijst;01 - Standaardlijst;2001;Boring tot 0,5 m-mv;Stuk;24
07-2026 Standaardprijslijst;01 - Standaardlijst;2002;Boring tot 1m-mv;stuk;37
07-2026 Standaardprijslijst;01 - Standaardlijst;2004;Boring van 1,5m-mv;stuk;53
07-2026 Standaardprijslijst;01 - Standaardlijst;2005;Boring tot 2m-mv;stuk;58
07-2026 Standaardprijslijst;01 - Standaardlijst;2006;Boring tot 2.5m-mv;stuk;63
07-2026 Standaardprijslijst;01 - Standaardlijst;2007;Boring tot 3m-mv;stuk;65
07-2026 Standaardprijslijst;01 - Standaardlijst;2008;Boring tot 3.5m-mv;stuk;76
07-2026 Standaardprijslijst;01 - Standaardlijst;2009;Boring tot 4m-mv;stuk;109
07-2026 Standaardprijslijst;01 - Standaardlijst;2010;Boring tot 4.5m-mv;stuk;137
07-2026 Standaardprijslijst;01 - Standaardlijst;2011;Boring tot 5m-mv;stuk;163
07-2026 Standaardprijslijst;01 - Standaardlijst;2012;Steekbussen;stuk;24
07-2026 Standaardprijslijst;01 - Standaardlijst;3001;Peilbuis tot 2m-mv;stuk;94
07-2026 Standaardprijslijst;01 - Standaardlijst;3002;Peilbuis tot 2.5m-mv;stuk;99
07-2026 Standaardprijslijst;01 - Standaardlijst;3003;Peilbuis tot 3m-mv;stuk;107
07-2026 Standaardprijslijst;01 - Standaardlijst;3004;Peilbuis tot 3.5m-mv;stuk;123
07-2026 Standaardprijslijst;01 - Standaardlijst;3005;Peilbuis tot 4m-mv;stuk;174
07-2026 Standaardprijslijst;01 - Standaardlijst;3006;Peilbuis tot 4.5m-mv;stuk;196
07-2026 Standaardprijslijst;01 - Standaardlijst;3007;Peilbuis tot 5m-mv;stuk;219
07-2026 Standaardprijslijst;01 - Standaardlijst;3009;Straatpot, niet afsluitbaar;stuk;32
07-2026 Standaardprijslijst;01 - Standaardlijst;3010;Straatpot, afsluitbaar;stuk;88
07-2026 Standaardprijslijst;01 - Standaardlijst;4001;Voorrijkosten watermonstername;stuk;54
07-2026 Standaardprijslijst;01 - Standaardlijst;4002;Watermonstername met zware metalen;stuk;60
07-2026 Standaardprijslijst;01 - Standaardlijst;4003;Watermonstername zonder zware metalen filter;stuk;47,1
07-2026 Standaardprijslijst;01 - Standaardlijst;5001;Inspectie gat (0,3x0,3x0,5) + Boring tot 0,5m-mv;Stuk;55
07-2026 Standaardprijslijst;01 - Standaardlijst;5002;Inspectiegat 30x30x0,5m +boren tot 1m;meters;68
07-2026 Standaardprijslijst;01 - Standaardlijst;5004;Inspectie gat (0,3x0,3x0,5) + boren tot 1,5m;meters;84
07-2026 Standaardprijslijst;01 - Standaardlijst;5005;Inspectie gat (0,3x0,3x0,5) + boren tot 2m;meters;89
07-2026 Standaardprijslijst;01 - Standaardlijst;5006;Inspectie gat (0,3x0,3x0,5) + boren tot 2,5m;meters;94
07-2026 Standaardprijslijst;01 - Standaardlijst;5007;Inspectie gat (0,3x0,3x0,5) + boren tot 3m;meters;96
07-2026 Standaardprijslijst;01 - Standaardlijst;5008;PID meter;Per Project;20
07-2026 Standaardprijslijst;01 - Standaardlijst;5009;Nemen slibmonsters;stuk;22
07-2026 Standaardprijslijst;01 - Standaardlijst;5010;Opstartkosten betonboren;project;85
07-2026 Standaardprijslijst;01 - Standaardlijst;5011;Beton/asfaltboren per cm;cm;2,6
07-2026 Standaardprijslijst;01 - Standaardlijst;5015;Inspectie gat 30x30x50 zonder Pot;stuk;31
07-2026 Standaardprijslijst;011 Extra artikelen;5201;Aggregaat;Dag;68
07-2026 Standaardprijslijst;011 Extra artikelen;5204;Boot naar Texel;stuk;90
07-2026 Standaardprijslijst;011 Extra artikelen;5205;Inzet Boot;dag;145
07-2026 Standaardprijslijst;011 Extra artikelen;5206;Inzet deco-unit (incl. aan-en afvoer);dag;400
07-2026 Standaardprijslijst;011 Extra artikelen;5207;Minigraver;dag;850
07-2026 Standaardprijslijst;011 Extra artikelen;5208;Veldwerkuren;uur;75
07-2026 Standaardprijslijst;011 Extra artikelen;5208;Veldwerkuren;uur;79
07-2026 Standaardprijslijst;011 Extra artikelen;5209;(D)GPS inmeten of Uitzetten 0 tm 10 boringen;keer;91
07-2026 Standaardprijslijst;01 - Standaardlijst;5211;Dag Geoprobe;;1400
07-2026 Standaardprijslijst;01 - Standaardlijst;5214;Kraan voor asbestsleuven;;1075
07-2026 Standaardprijslijst;01 - Standaardlijst;5215;Quad Huur;dag;165
07-2026 Standaardprijslijst;20 - Machinaal boren;5216;Dag Sonic;;2250
07-2026 Standaardprijslijst;20 - Machinaal boren;5217;Transport Sonic;;550
07-2026 Standaardprijslijst;02 - Boringen in handkracht;12013;Boring tot 6m-mv;stuk;193
07-2026 Standaardprijslijst;02 - Boringen in handkracht;12013;Boring tot 6m-mv;stuk;160
07-2026 Standaardprijslijst;02 - Boringen in handkracht;12015;Boring tot 7m-mv;stuk;175
07-2026 Standaardprijslijst;11 - Ramgutsen;21001;Ramguts inzet per boring;stuk;25
07-2026 Standaardprijslijst;14 - Overig;24012;Lichte verkeersmaatregelen;dag;250
07-2026 Standaardprijslijst;14 - Overig;9911007;Mob/demob. machinale boorstelling;dag;500
01-Aveco 2026 Raamcontract;01 - Standaardlijst;A1;Vaste kosten (voorbereidings- en afhandelingskosten);Stuk;44
01-Aveco 2026 Raamcontract;01 - Standaardlijst;A2;Reiskosten - aantal KM naar de locatie gerekend vanaf de dichtstbijzijnde standplaats/woonadres;Stuk;0,89
01-Aveco 2026 Raamcontract;01 - Standaardlijst;A3;Reistijd (enkele reis) 0 tot 1uur (1 veldwerkbus met 1 medewerker);Stuk;89
01-Aveco 2026 Raamcontract;01 - Standaardlijst;A4;Reistijd (enkele reis) 1 tot 1,5 uur (1 veldwerkbus met 1 medewerker);Stuk;127
01-Aveco 2026 Raamcontract;01 - Standaardlijst;A5;Reistijd (enkele reis) 1,5 tot 2 uur (1 veldwerkbus met 1 medewerker);Stuk;179
01-Aveco 2026 Raamcontract;01 - Standaardlijst;A6;Reistijd (enkele reis) 2 tot 2,5 uur (1 veldwerkbus met 1 medewerker);Stuk;224
01-Aveco 2026 Raamcontract;01 - Standaardlijst;A7;KLIC-melding;Stuk;62
01-Aveco 2026 Raamcontract;01 - Standaardlijst;A8;Verwijderen bestrating en herbestrating;Stuk;11
01-Aveco 2026 Raamcontract;01 - Standaardlijst;B1;Uitvoeren boring en plaatsen peilbuis, materiaal pvc, tot 2,0 m - mv, 32 mm;Stuk;104
01-Aveco 2026 Raamcontract;01 - Standaardlijst;B2;Uitvoeren boring en plaatsen peilbuis, materiaal pvc, tot 2,5 m - mv, 32 mm;Stuk;109
01-Aveco 2026 Raamcontract;01 - Standaardlijst;B3;Uitvoeren boring en plaatsen peilbuis, materiaal pvc, tot 3,0 m - mv, 32 mm;Stuk;118
01-Aveco 2026 Raamcontract;01 - Standaardlijst;B4;Uitvoeren boring en plaatsen peilbuis, materiaal pvc, tot 3,0 m - mv, 40 mm;Stuk;131
01-Aveco 2026 Raamcontract;01 - Standaardlijst;B5;Uitvoeren boring en plaatsen peilbuis, materiaal hdpe tot 3,0 m - mv, 63 mm;Stuk;235
01-Aveco 2026 Raamcontract;01 - Standaardlijst;B6;Uitvoeren boring en plaatsen peilbuis, materiaal pvc, tot 3,5 m - mv, 32 mm;Stuk;137
01-Aveco 2026 Raamcontract;01 - Standaardlijst;B7;Uitvoeren boring en plaatsen peilbuis, materiaal pvc, tot 4,0 m - mv, 32 mm;Stuk;193
01-Aveco 2026 Raamcontract;01 - Standaardlijst;B8;Uitvoeren boring en plaatsen peilbuis, materiaal pvc, tot 4,5 m - mv, 32 mm;Stuk;211
01-Aveco 2026 Raamcontract;01 - Standaardlijst;B9;Uitvoeren boring en plaatsen peilbuis, materiaal pvc, tot 5,0 m - mv, 32 mm;Stuk;244
01-Aveco 2026 Raamcontract;01 - Standaardlijst;B10;Uitvoeren boring en plaatsen peilbuis, materiaal pvc, tot 5,5 m - mv, 32 mm;Stuk;270
01-Aveco 2026 Raamcontract;01 - Standaardlijst;B11;Uitvoeren boring en plaatsen peilbuis, materiaal pvc, tot 6,0 m - mv, 32 mm;Stuk;297
01-Aveco 2026 Raamcontract;01 - Standaardlijst;B12;Uitvoeren boring en plaatsen peilbuis, materiaal pvc, tot 6,0 m - mv, 40 mm;Stuk;358
01-Aveco 2026 Raamcontract;01 - Standaardlijst;B13;Uitvoeren boring en plaatsen peilbuis, materiaal hdpe tot 6,0 m - mv, 63 mm;Stuk;691
01-Aveco 2026 Raamcontract;01 - Standaardlijst;B14;Uitvoeren boring en plaatsen peilbuis, materiaal pvc, tot 6,5 m - mv, 32 mm;Stuk;360
01-Aveco 2026 Raamcontract;01 - Standaardlijst;B15;Uitvoeren boring en plaatsen peilbuis, materiaal pvc, tot 7,0 m - mv, 32 mm;Stuk;484
01-Aveco 2026 Raamcontract;01 - Standaardlijst;B16;Uitvoeren boring en plaatsen peilbuis, materiaal pvc, tot 7,5 m - mv, 32 mm;Stuk;519
01-Aveco 2026 Raamcontract;01 - Standaardlijst;B17;Uitvoeren boring en plaatsen peilbuis, materiaal pvc, tot 8,0 m - mv, 32 mm;Stuk;553
01-Aveco 2026 Raamcontract;01 - Standaardlijst;C1;Klinkerstraatpot 100x205mm;Stuk;35
01-Aveco 2026 Raamcontract;01 - Standaardlijst;C2;Straatpot 140x140 niet afsluitbaar, geel kunststof deksel;Stuk;35
01-Aveco 2026 Raamcontract;01 - Standaardlijst;C3;Straatpot 140x140 niet afsluitbaar, geel kunststof deksel met metalen kern tbv metaaldetectie;Stuk;41
01-Aveco 2026 Raamcontract;01 - Standaardlijst;C4;Straatpot 140x140 afsluitbaar, inbus M10 (8mm), geel kunststof deksel;Stuk;55
01-Aveco 2026 Raamcontract;01 - Standaardlijst;C5;Straatpot 190x190, zwart PA deksel, inbusbout M10 (anti-diefstal);Stuk;102
01-Aveco 2026 Raamcontract;01 - Standaardlijst;C6;Betontegel met uitsparing (omranding) voor straatpot 140x140;Stuk;34
01-Aveco 2026 Raamcontract;01 - Standaardlijst;C7;Kunststof beschermpot ø120mm (t.b.v. afwerking kernboring);Stuk;41
01-Aveco 2026 Raamcontract;01 - Standaardlijst;C8;RVS afdekkap t.b.v. boorgat ø120mm, plaat ø170x2mm;Stuk;55
01-Aveco 2026 Raamcontract;01 - Standaardlijst;C9;RVS afdekkap t.b.v. boorgat ø120mm, plaat ø170x4mm (zwaar);Stuk;62
01-Aveco 2026 Raamcontract;01 - Standaardlijst;C10;PVC beschermbuis ø110mm L=30cm + PE deksel;Stuk;14
01-Aveco 2026 Raamcontract;01 - Standaardlijst;C11;Kunststof beschermkoker ø125 L=1,5m. Inclusief kunststof kap en lip t.b.v. hangslot;Stuk;179
